Time,Event,PatientID,Deadline,EmergencyStatus,PatientType
13.0,ARRIVE,1,50.0,True,Emergence_Patient
13.0,START,1,50.0,True,Emergence_Patient
20.0,ARRIVE,2,190.0,True,Emergence_Patient
20.0,START,2,190.0,True,Emergence_Patient
21.8,DONE,1,50.0,True,Emergence_Patient
21.8,START,1,50.0,True,Emergence_Patient
29.0,ARRIVE,3,994.0,True,Emergence_Patient
29.0,START,3,994.0,True,Emergence_Patient
30.0,PAUSE,2,190.0,True,Emergence_Patient
30.6,DONE,1,50.0,True,Emergence_Patient
30.8,DONE,3,994.0,True,Emergence_Patient
30.8,START,3,994.0,True,Emergence_Patient
32.6,DONE,3,994.0,True,Emergence_Patient
36.0,ARRIVE,4,75.0,True,Emergence_Patient
36.0,START,4,75.0,True,Emergence_Patient
41.0,DONE,4,75.0,True,Emergence_Patient
41.0,START,4,75.0,True,Emergence_Patient
43.0,ARRIVE,5,inf,False,Naive_Patient
43.0,START,5,inf,False,Naive_Patient
46.0,DONE,4,75.0,True,Emergence_Patient
49.4,DONE,5,inf,False,Naive_Patient
56.0,ARRIVE,6,199.0,True,Emergence_Patient
56.0,START,6,199.0,True,Emergence_Patient
57.8,DONE,6,199.0,True,Emergence_Patient
57.8,START,6,199.0,True,Emergence_Patient
59.599999999999994,DONE,6,199.0,True,Emergence_Patient
66.0,ARRIVE,7,inf,True,Nylon_Patient
66.0,START,7,inf,True,Nylon_Patient
66.2,DONE,7,inf,True,Nylon_Patient
66.2,START,7,inf,True,Nylon_Patient
66.4,DONE,7,inf,True,Nylon_Patient
73.0,ARRIVE,8,362.0,True,Emergence_Patient
73.0,START,8,362.0,True,Emergence_Patient
78.2,DONE,8,362.0,True,Emergence_Patient
78.2,START,8,362.0,True,Emergence_Patient
80.0,ARRIVE,9,inf,False,Naive_Patient
80.0,START,9,inf,False,Naive_Patient
83.4,DONE,8,362.0,True,Emergence_Patient
84.6,DONE,9,inf,False,Naive_Patient
97.0,ARRIVE,10,269.0,True,Emergence_Patient
97.0,START,10,269.0,True,Emergence_Patient
97.0,DONE,10,269.0,True,Emergence_Patient
97.0,START,10,269.0,True,Emergence_Patient
97.0,DONE,10,269.0,True,Emergence_Patient
107.0,ARRIVE,11,inf,False,Naive_Patient
107.0,START,11,inf,False,Naive_Patient
115.2,DONE,11,inf,False,Naive_Patient
119.0,ARRIVE,12,inf,False,Naive_Patient
119.0,START,12,inf,False,Naive_Patient
126.0,DONE,12,inf,False,Naive_Patient
127.0,ARRIVE,13,inf,False,Naive_Patient
127.0,START,13,inf,False,Naive_Patient
133.4,DONE,13,inf,False,Naive_Patient
137.0,ARRIVE,14,717.0,True,Emergence_Patient
137.0,START,14,717.0,True,Emergence_Patient
147.0,PAUSE,14,717.0,True,Emergence_Patient
150.0,ARRIVE,15,405.0,True,Emergence_Patient
150.0,START,15,405.0,True,Emergence_Patient
155.2,DONE,15,405.0,True,Emergence_Patient
155.2,START,15,405.0,True,Emergence_Patient
160.39999999999998,DONE,15,405.0,True,Emergence_Patient
161.0,ARRIVE,16,385.0,True,Emergence_Patient
161.0,START,16,385.0,True,Emergence_Patient
162.4,DONE,16,385.0,True,Emergence_Patient
162.4,START,16,385.0,True,Emergence_Patient
163.8,DONE,16,385.0,True,Emergence_Patient
170.0,ARRIVE,17,368.0,True,Emergence_Patient
170.0,START,17,368.0,True,Emergence_Patient
174.4,DONE,17,368.0,True,Emergence_Patient
174.4,START,17,368.0,True,Emergence_Patient
178.8,DONE,17,368.0,True,Emergence_Patient
182.0,ARRIVE,18,inf,False,Naive_Patient
182.0,START,18,inf,False,Naive_Patient
183.6,DONE,18,inf,False,Naive_Patient
191.0,DEAD,2,190.0,True,Emergence_Patient
193.0,ARRIVE,19,inf,False,Naive_Patient
193.0,START,19,inf,False,Naive_Patient
198.0,DONE,19,inf,False,Naive_Patient
203.0,ARRIVE,20,inf,True,Nylon_Patient
203.0,START,20,inf,True,Nylon_Patient
205.2,DONE,20,inf,True,Nylon_Patient
205.2,START,20,inf,True,Nylon_Patient
207.39999999999998,DONE,20,inf,True,Nylon_Patient
210.0,ARRIVE,21,211.0,True,Emergence_Patient
210.0,START,21,211.0,True,Emergence_Patient
212.0,DEAD,21,211.0,True,Emergence_Patient
215.0,DEAD,21,211.0,True,Emergence_Patient
222.0,ARRIVE,22,527.0,True,Emergence_Patient
