Time,Event,PatientID,Deadline,EmergencyStatus,PatientType
10.0,ARRIVE,1,72.0,True,Emergence_Patient
10.0,START,1,72.0,True,Emergence_Patient
22.0,ARRIVE,2,56.0,True,Emergence_Patient
22.0,START,2,56.0,True,Emergence_Patient
27.735263418013883,DONE,2,56.0,True,Emergence_Patient
31.0,ARRIVE,3,68.0,True,Emergence_Patient
31.0,START,3,68.0,True,Emergence_Patient
35.57565787124157,DONE,1,72.0,True,Emergence_Patient
41.0,ARRIVE,4,inf,True,Nylon_Patient
41.0,START,4,inf,True,Nylon_Patient
49.917922761876504,DONE,4,inf,True,Nylon_Patient
52.0,ARRIVE,5,inf,False,Naive_Patient
52.0,START,5,inf,False,Naive_Patient
57.0,DEAD,2,56.0,True,Emergence_Patient
61.1791466439098,DONE,5,inf,False,Naive_Patient
65.0,ARRIVE,6,inf,False,Naive_Patient
65.0,START,6,inf,False,Naive_Patient
66.67395872777246,DONE,3,68.0,True,Emergence_Patient
69.0,DEAD,3,68.0,True,Emergence_Patient
71.09776222306674,DONE,6,inf,False,Naive_Patient
73.0,DEAD,1,72.0,True,Emergence_Patient
76.0,ARRIVE,7,inf,False,Naive_Patient
76.0,START,7,inf,False,Naive_Patient
76.86735631211063,DONE,7,inf,False,Naive_Patient
90.0,ARRIVE,8,48.0,True,Emergence_Patient
90.0,DEAD,8,48.0,True,Emergence_Patient
90.0,START,8,48.0,True,Emergence_Patient
99.0,ARRIVE,9,inf,False,Naive_Patient
99.0,START,9,inf,False,Naive_Patient
104.0,ARRIVE,10,inf,True,Nylon_Patient
104.0,START,10,inf,True,Nylon_Patient
107.12904216069052,DONE,10,inf,True,Nylon_Patient
107.25004106745796,DONE,9,inf,False,Naive_Patient
116.0,ARRIVE,11,57.0,True,Emergence_Patient
116.0,DEAD,11,57.0,True,Emergence_Patient
116.0,START,11,57.0,True,Emergence_Patient
121.31929407744195,DEAD,11,57.0,True,Emergence_Patient
124.0,ARRIVE,12,58.0,True,Emergence_Patient
124.0,DEAD,12,58.0,True,Emergence_Patient
124.0,START,12,58.0,True,Emergence_Patient
129.0,ARRIVE,13,inf,True,Nylon_Patient
129.0,START,13,inf,True,Nylon_Patient
129.0201136254838,DONE,13,inf,True,Nylon_Patient
134.0,ARRIVE,14,63.0,True,Emergence_Patient
134.0,DEAD,14,63.0,True,Emergence_Patient
134.0,START,14,63.0,True,Emergence_Patient
144.0788602799602,DEAD,14,63.0,True,Emergence_Patient
147.0,ARRIVE,15,inf,False,Naive_Patient
147.0,START,15,inf,False,Naive_Patient
151.62763478991164,DONE,15,inf,False,Naive_Patient
152.16446699476487,DEAD,12,58.0,True,Emergence_Patient
154.0,ARRIVE,16,inf,False,Naive_Patient
154.0,START,16,inf,False,Naive_Patient
164.0,PAUSE,16,inf,False,Naive_Patient
164.0,RESUME,16,inf,False,Naive_Patient
165.0,ARRIVE,17,inf,True,Nylon_Patient
165.0,START,17,inf,True,Nylon_Patient
169.0,ARRIVE,18,61.0,True,Emergence_Patient
169.0,DEAD,18,61.0,True,Emergence_Patient
169.0,START,18,61.0,True,Emergence_Patient
170.37221201203266,DONE,17,inf,True,Nylon_Patient
172.655028544116,DONE,16,inf,False,Naive_Patient
182.0,ARRIVE,19,61.0,True,Emergence_Patient
182.0,DEAD,19,61.0,True,Emergence_Patient
182.0,START,19,61.0,True,Emergence_Patient
186.0,ARRIVE,20,inf,True,Nylon_Patient
186.0,START,20,inf,True,Nylon_Patient
187.49646605363964,DONE,20,inf,True,Nylon_Patient
198.0,ARRIVE,21,57.0,True,Emergence_Patient
198.0,DEAD,21,57.0,True,Emergence_Patient
198.0,START,21,57.0,True,Emergence_Patient
198.48363215974848,DEAD,18,61.0,True,Emergence_Patient
200.44581521838325,DEAD,8,48.0,True,Emergence_Patient
213.0,ARRIVE,22,inf,False,Naive_Patient
213.0,START,22,inf,False,Naive_Patient
223.0,PAUSE,22,inf,False,Naive_Patient
223.0,RESUME,22,inf,False,Naive_Patient
225.0,ARRIVE,23,62.0,True,Emergence_Patient
225.0,DEAD,23,62.0,True,Emergence_Patient
225.0,START,23,62.0,True,Emergence_Patient
227.16857273393302,DEAD,19,61.0,True,Emergence_Patient
228.91610920049837,DONE,22,inf,False,Naive_Patient
236.0,ARRIVE,24,57.0,True,Emergence_Patient
236.0,DEAD,24,57.0,True,Emergence_Patient
236.0,START,24,57.0,True,Emergence_Patient
251.0,ARRIVE,25,59.0,True,Emergence_Patient
251.0,DEAD,25,59.0,True,Emergence_Patient
251.0,START,25,59.0,True,Emergence_Patient
256.0,ARRIVE,26,64.0,True,Emergence_Patient
256.0,DEAD,26,64.0,True,Emergence_Patient
264.3297940474301,DEAD,21,57.0,True,Emergence_Patient
264.3297940474301,START,26,64.0,True,Emergence_Patient
273.0,ARRIVE,27,inf,False,Naive_Patient
283.0,ARRIVE,28,50.0,True,Emergence_Patient
283.0,DEAD,28,50.0,True,Emergence_Patient
